,Buy,Sell,Hols,Firsts,Fridays
357,2000-06-23,2000-06-26,0,0,1
358,2000-07-07,2000-07-10,0,0,1
359,2000-07-14,2000-07-17,0,0,1
360,2000-07-21,2000-07-24,0,0,1
361,2000-07-28,2000-07-31,0,0,1
362,2000-08-04,2000-08-07,0,0,1
363,2000-08-11,2000-08-14,0,0,1
364,2000-08-18,2000-08-21,0,0,1
365,2000-08-25,2000-08-28,0,0,1
366,2000-09-01,2000-09-04,0,0,1
367,2000-09-08,2000-09-11,0,0,1
368,2000-09-15,2000-09-18,0,0,1
369,2000-09-22,2000-09-25,0,0,1
370,2000-09-29,2000-10-02,0,0,1
371,2000-10-06,2000-10-09,0,0,1
372,2000-10-13,2000-10-16,0,0,1
373,2000-10-20,2000-10-23,0,0,1
374,2000-10-27,2000-10-30,0,0,1
375,2000-11-03,2000-11-06,0,0,1
376,2000-11-10,2000-11-13,0,0,1
377,2000-11-17,2000-11-20,0,0,1
378,2000-11-24,2000-11-27,0,0,1
379,2000-12-01,2000-12-04,0,0,1
380,2000-12-08,2000-12-11,0,0,1
381,2000-12-15,2000-12-18,0,0,1
382,2000-12-22,2000-12-25,0,0,1
383,2000-12-29,2001-01-01,0,0,1
384,2001-01-05,2001-01-08,0,0,1
385,2001-01-12,2001-01-15,0,0,1
386,2001-01-19,2001-01-22,0,0,1
387,2001-01-26,2001-01-29,0,0,1
388,2001-02-02,2001-02-05,0,0,1
389,2001-02-09,2001-02-12,0,0,1
390,2001-02-16,2001-02-19,0,0,1
391,2001-02-23,2001-02-26,0,0,1
392,2001-03-02,2001-03-05,0,0,1
393,2001-03-09,2001-03-12,0,0,1
394,2001-03-16,2001-03-19,0,0,1
395,2001-03-23,2001-03-26,0,0,1
396,2001-03-30,2001-04-02,0,0,1
397,2001-04-06,2001-04-09,0,0,1
398,2001-04-13,2001-04-16,0,0,1
399,2001-04-20,2001-04-23,0,0,1
400,2001-04-27,2001-04-30,0,0,1
401,2001-05-04,2001-05-07,0,0,1
402,2001-05-11,2001-05-14,0,0,1
403,2001-05-18,2001-05-21,0,0,1
404,2001-05-25,2001-05-28,0,0,1
405,2001-06-01,2001-06-04,0,0,1
406,2001-06-08,2001-06-11,0,0,1
407,2001-06-15,2001-06-18,0,0,1
408,2001-06-22,2001-06-25,0,0,1
409,2001-06-29,2001-07-02,0,0,1
410,2001-07-06,2001-07-09,0,0,1
411,2001-07-13,2001-07-16,0,0,1
412,2001-07-20,2001-07-23,0,0,1
413,2001-07-27,2001-07-30,0,0,1
414,2001-08-03,2001-08-06,0,0,1
415,2001-08-10,2001-08-13,0,0,1
416,2001-08-17,2001-08-20,0,0,1
417,2001-08-24,2001-08-27,0,0,1
418,2001-09-07,2001-09-10,0,0,1
419,2001-09-14,2001-09-17,0,0,1
420,2001-09-21,2001-09-24,0,0,1
421,2001-09-28,2001-10-01,0,0,1
422,2001-10-05,2001-10-08,0,0,1
423,2001-10-12,2001-10-15,0,0,1
424,2001-10-19,2001-10-22,0,0,1
425,2001-10-26,2001-10-29,0,0,1
426,2001-11-02,2001-11-05,0,0,1
427,2001-11-09,2001-11-12,0,0,1
428,2001-11-16,2001-11-19,0,0,1
429,2001-11-23,2001-11-26,0,0,1
430,2001-12-07,2001-12-10,0,0,1
431,2001-12-14,2001-12-17,0,0,1
432,2001-12-21,2001-12-24,0,0,1
433,2001-12-28,2001-12-31,0,0,1
434,2002-01-04,2002-01-07,0,0,1
435,2002-01-11,2002-01-14,0,0,1
436,2002-01-18,2002-01-21,0,0,1
437,2002-01-25,2002-01-28,0,0,1
438,2002-02-01,2002-02-04,0,0,1
439,2002-02-08,2002-02-11,0,0,1
440,2002-02-15,2002-02-18,0,0,1
441,2002-02-22,2002-02-25,0,0,1
442,2002-03-01,2002-03-04,0,0,1
443,2002-03-08,2002-03-11,0,0,1
444,2002-03-15,2002-03-18,0,0,1
445,2002-03-22,2002-03-25,0,0,1
446,2002-03-29,2002-04-01,0,0,1
447,2002-04-05,2002-04-08,0,0,1
448,2002-04-12,2002-04-15,0,0,1
449,2002-04-19,2002-04-22,0,0,1
450,2002-04-26,2002-04-29,0,0,1
451,2002-05-03,2002-05-06,0,0,1
452,2002-05-10,2002-05-13,0,0,1
453,2002-05-17,2002-05-20,0,0,1
454,2002-05-24,2002-05-27,0,0,1
455,2002-06-07,2002-06-10,0,0,1
456,2002-06-14,2002-06-17,0,0,1
457,2002-06-21,2002-06-24,0,0,1
458,2002-06-28,2002-07-01,0,0,1
459,2002-07-05,2002-07-08,0,0,1
460,2002-07-12,2002-07-15,0,0,1
461,2002-07-19,2002-07-22,0,0,1
462,2002-07-26,2002-07-29,0,0,1
463,2002-08-02,2002-08-05,0,0,1
464,2002-08-09,2002-08-12,0,0,1
465,2002-08-16,2002-08-19,0,0,1
466,2002-08-23,2002-08-26,0,0,1
467,2002-08-30,2002-09-02,0,0,1
468,2002-09-06,2002-09-09,0,0,1
469,2002-09-13,2002-09-16,0,0,1
470,2002-09-20,2002-09-23,0,0,1
471,2002-09-27,2002-09-30,0,0,1
472,2002-10-04,2002-10-07,0,0,1
473,2002-10-11,2002-10-14,0,0,1
474,2002-10-18,2002-10-21,0,0,1
475,2002-10-25,2002-10-28,0,0,1
476,2002-11-01,2002-11-04,0,0,1
477,2002-11-08,2002-11-11,0,0,1
478,2002-11-15,2002-11-18,0,0,1
479,2002-11-22,2002-11-25,0,0,1
480,2002-11-29,2002-12-02,0,0,1
481,2002-12-06,2002-12-09,0,0,1
482,2002-12-13,2002-12-16,0,0,1
483,2002-12-20,2002-12-23,0,0,1
484,2002-12-27,2002-12-30,0,0,1
485,2003-01-03,2003-01-06,0,0,1
486,2003-01-10,2003-01-13,0,0,1
487,2003-01-17,2003-01-20,0,0,1
488,2003-01-24,2003-01-27,0,0,1
489,2003-02-07,2003-02-10,0,0,1
490,2003-02-14,2003-02-17,0,0,1
491,2003-02-21,2003-02-24,0,0,1
492,2003-03-07,2003-03-10,0,0,1
493,2003-03-14,2003-03-17,0,0,1
494,2003-03-21,2003-03-24,0,0,1
495,2003-03-28,2003-03-31,0,0,1
496,2003-04-04,2003-04-07,0,0,1
497,2003-04-11,2003-04-14,0,0,1
498,2003-04-18,2003-04-21,0,0,1
499,2003-04-25,2003-04-28,0,0,1
500,2003-05-02,2003-05-05,0,0,1
501,2003-05-09,2003-05-12,0,0,1
502,2003-05-16,2003-05-19,0,0,1
503,2003-05-23,2003-05-26,0,0,1
504,2003-05-30,2003-06-02,0,0,1
505,2003-06-06,2003-06-09,0,0,1
506,2003-06-13,2003-06-16,0,0,1
507,2003-06-20,2003-06-23,0,0,1
508,2003-06-27,2003-06-30,0,0,1
509,2003-07-04,2003-07-07,0,0,1
510,2003-07-11,2003-07-14,0,0,1
511,2003-07-18,2003-07-21,0,0,1
512,2003-07-25,2003-07-28,0,0,1
513,2003-08-01,2003-08-04,0,0,1
514,2003-08-08,2003-08-11,0,0,1
515,2003-08-15,2003-08-18,0,0,1
516,2003-08-22,2003-08-25,0,0,1
517,2003-08-29,2003-09-01,0,0,1
518,2003-09-05,2003-09-08,0,0,1
519,2003-09-12,2003-09-15,0,0,1
520,2003-09-19,2003-09-22,0,0,1
521,2003-09-26,2003-09-29,0,0,1
522,2003-10-03,2003-10-06,0,0,1
523,2003-10-10,2003-10-13,0,0,1
524,2003-10-17,2003-10-20,0,0,1
525,2003-10-24,2003-10-27,0,0,1
526,2003-11-07,2003-11-10,0,0,1
527,2003-11-14,2003-11-17,0,0,1
528,2003-11-21,2003-11-24,0,0,1
529,2003-11-28,2003-12-01,0,0,1
530,2003-12-05,2003-12-08,0,0,1
531,2003-12-12,2003-12-15,0,0,1
532,2003-12-19,2003-12-22,0,0,1
533,2003-12-26,2003-12-29,0,0,1
534,2004-01-02,2004-01-05,0,0,1
535,2004-01-09,2004-01-12,0,0,1
536,2004-01-16,2004-01-19,0,0,1
537,2004-01-23,2004-01-26,0,0,1
538,2004-01-30,2004-02-02,0,0,1
539,2004-02-06,2004-02-09,0,0,1
540,2004-02-13,2004-02-16,0,0,1
541,2004-02-20,2004-02-23,0,0,1
542,2004-02-27,2004-03-01,0,0,1
543,2004-03-05,2004-03-08,0,0,1
544,2004-03-12,2004-03-15,0,0,1
545,2004-03-19,2004-03-22,0,0,1
546,2004-03-26,2004-03-29,0,0,1
547,2004-04-02,2004-04-05,0,0,1
548,2004-04-09,2004-04-12,0,0,1
549,2004-04-16,2004-04-19,0,0,1
550,2004-04-23,2004-04-26,0,0,1
551,2004-05-07,2004-05-10,0,0,1
552,2004-05-14,2004-05-17,0,0,1
553,2004-05-21,2004-05-24,0,0,1
554,2004-05-28,2004-05-31,0,0,1
555,2004-06-04,2004-06-07,0,0,1
556,2004-06-11,2004-06-14,0,0,1
557,2004-06-18,2004-06-21,0,0,1
558,2004-06-25,2004-06-28,0,0,1
559,2004-07-02,2004-07-05,0,0,1
560,2004-07-09,2004-07-12,0,0,1
561,2004-07-16,2004-07-19,0,0,1
562,2004-07-23,2004-07-26,0,0,1
563,2004-07-30,2004-08-02,0,0,1
